Date/Time,Electricity:Facility [J](Hourly),Heating:Electricity [J](Hourly),Cooling:Electricity [J](Hourly),InteriorLights:Electricity [J](Hourly),ExteriorLights:Electricity [J](Hourly),InteriorEquipment:Electricity [J](Hourly),Fans:Electricity [J](Hourly),Pumps:Electricity [J](Hourly),Gas:Facility [J](Hourly),Heating:Gas [J](Hourly),WaterSystems:Gas [J](Hourly) 
 11/07  19:00:00,142044106.7,0,527830.1802,38309735.72,19285200,83236545.25,684795.5051,0.002960637,69598024.1,9762324.485,59835699.62
 11/07  20:00:00,138633914.2,0,365924.1242,44309080.3,19285200,73747799.95,925909.8311,0.002822933,74047626.85,16947262.1,57100364.75
 11/07  21:00:00,137107944,0,294116.7908,44844053.7,19285200,71628391.33,1056182.155,0.002581951,73075427.53,20761898.8,52313528.73
 11/07  22:00:00,117454295.4,0,263264.8893,33074638.86,19285200,63729202.5,1101989.152,0.002099987,64837552.96,22097696.26,42739856.7
 11/07  23:00:00,92478797.62,0,120619.0354,21305224.02,19285200,50531492.12,1236262.446,0.001824579,63941835.25,26672648.28,37269186.97
 11/07  24:00:00,71373077.35,0,0,12745649.59,19285200,37863633.89,1478593.872,0.000998354,54454631.66,33597453.89,20857177.78
 11/08  01:00:00,58362298.87,0,0,9191897.701,19285200,28085665.77,1799535.391,0.000275682,47618276.03,41108791.31,6509484.727
 11/08  02:00:00,56409731.37,0,0,9191897.701,19285200,25966257.16,1966376.515,0.00013784,48716243.88,44947017.68,3769226.198
 11/08  03:00:00,55461422.83,0,0,9191897.701,19285200,24906552.85,2077772.275,3.44601E-05,49160663.62,47448838.46,1711825.154
 11/08  04:00:00,55010457.64,0,0,9191897.701,19285200,24376700.69,2156659.239,3.44601E-05,50880217.57,49168389.3,1711828.264
 11/08  05:00:00,62497582.62,0,0,13777384,19285200,27266590.8,2168407.813,0.00013784,53093933.69,49324605.47,3769328.224
 11/08  06:00:00,78723062.43,0,0,21687347.87,19285200,35695631.8,2054882.756,0.000930423,66146950.26,46603416.33,19543533.93
 11/08  07:00:00,97637770.35,0,0,23445117.62,19285200,53083565.93,1823886.793,0.003239249,106680675.2,41186214.18,65494461
 11/08  08:00:00,95167594.76,0,0,21649135.49,6428400,65388425.55,1701633.718,0.00344601,108006139.1,38396669.92,69609469.14
 11/08  09:00:00,86499896.08,0,35057.85173,15665446.93,0,67967412.13,2831979.157,0.00330817,102657676.6,35791546.18,66866130.38
 11/08  10:00:00,76446121.79,0,307305.3806,13640190.48,0,59827593.96,2671031.967,0.002894648,87762374.38,29126260.3,58636114.08
 11/08  11:00:00,66204107.48,0,692852.778,13640190.48,0,49327737.83,2543326.385,0.002618968,75342244.56,22192808.01,53149436.55
 11/08  12:00:00,67058748.78,0,1067660.845,13640190.48,0,49857589.98,2493307.463,0.002102066,60731884.02,17869967.84,42861916.18
 11/08  13:00:00,66060419.1,0,1216830.25,13298350.38,0,49081841.7,2463396.769,0.001826385,53269282.48,15894043.83,37375238.65
 11/08  14:00:00,65225767.64,0,1416591.803,13640190.48,0,47738181.37,2430803.984,0.001619625,47645379.59,14385149.1,33260230.5
 11/08  15:00:00,65096410.91,0,1722215.901,13640190.48,0,47208329.21,2525675.314,0.001412864,42945685.56,13800463.22,29145222.35
 11/08  16:00:00,69567049.09,0,1389324.214,16964668.05,0,48797885.67,2415171.15,0.001619625,47337701.95,14077471.45,33260230.5
 11/08  17:00:00,99067143.27,0,993745.3381,25868153.95,3214200,66715671.97,2275372.013,0.001895306,52913310.58,14166402.55,38746908.03
 11/08  18:00:00,135044407.8,0,693039.6254,30170497.53,19285200,83933250.96,962419.6517,0.002515587,64764054.46,13672121.98,51091932.47
 11/08  19:00:00,142524644,0,699973.4529,38309735.72,19285200,83236545.25,993189.5813,0.002963569,74209609.02,14201825.55,60007783.46
 11/08  20:00:00,139089704.6,0,592158.4642,44309080.3,19285200,73747799.95,1155465.881,0.002825728,76410537.05,19146092.35,57264444.7
 11/08  21:00:00,137555876.1,0,505050.0961,44844053.7,19285200,71628391.33,1293180.979,0.002584508,75830276.65,23366674.79,52463601.86
 11/08  22:00:00,117945618.1,0,418065.3303,33074638.86,19285200,63729202.5,1438511.407,0.002102066,70665701.88,27803785.7,42861916.18
 11/08  23:00:00,93059325.4,0,240922.4057,21305224.02,19285200,50531492.12,1696486.857,0.001826385,73522943.57,36147704.92,37375238.65
 11/08  24:00:00,71900856.74,0,63680.32361,12745649.59,19285200,37863633.89,1942692.943,0.000999343,65027812.03,44112605.98,20915206.05
 11/09  01:00:00,58775001.46,0,0,9191897.701,19285200,28085665.77,2212237.983,0.000275954,57635447.44,51109910.41,6525537.035
 11/09  02:00:00,56824000.14,0,0,9191897.701,19285200,25966257.16,2380645.281,0.000137977,58685357.82,54908099.73,3777258.092
 11/09  03:00:00,55941850.86,0,0,9191897.701,19285200,24906552.85,2558200.31,3.44942E-05,60892648.7,59178815.55,1713833.153
