Date/Time,Electricity:Facility [J](Hourly),Heating:Electricity [J](Hourly),Cooling:Electricity [J](Hourly),InteriorLights:Electricity [J](Hourly),ExteriorLights:Electricity [J](Hourly),InteriorEquipment:Electricity [J](Hourly),Fans:Electricity [J](Hourly),Pumps:Electricity [J](Hourly),Gas:Facility [J](Hourly),Heating:Gas [J](Hourly),WaterSystems:Gas [J](Hourly) 
 05/17  22:00:00,101816055.3,0,297821.9187,26999759.2,23169600,50531492.12,817382.0504,0.00185448,55072498.39,14993748.24,40078750.16
 05/17  23:00:00,80874115.32,0,0,18440184.77,23169600,37863633.89,1400696.666,0.001014716,52055084.9,29648686.04,22406398.85
 05/17  24:00:00,68043415.67,0,0,14886432.88,23169600,28085665.77,1901717.012,0.000279922,47294355.48,40351264.02,6943091.461
 05/18  01:00:00,66153281.44,0,0,14886432.88,23169600,25966257.16,2130991.399,0.000139829,49228609.04,45236499.21,3992109.83
 05/18  02:00:00,65263695.07,0,0,14886432.88,23169600,24906552.85,2301109.342,3.49572E-05,50643079.92,48856286.23,1786793.687
 05/18  03:00:00,65023938.56,0,0,14886432.88,23169600,24376700.69,2591204.98,3.49572E-05,56907959.07,55121241.96,1786717.107
 05/18  04:00:00,72865436.06,0,0,19471919.18,23169600,27266590.8,2957326.072,0.000139829,67106134.54,63116559.06,3989575.474
 05/18  05:00:00,85583036.48,0,0,27381883.05,19308000,35695631.8,3197521.632,0.000943845,89317103.04,68439875.8,20877227.24
 05/18  06:00:00,85102179.89,0,0,29139652.8,0,53083565.93,2878961.155,0.00328598,131615364.1,61543187.66,70072176.47
 05/18  07:00:00,95066388.6,0,0,27343670.67,0,65388425.55,2334292.372,0.003495723,124196580.9,49718880.87,74477700.01
 05/18  08:00:00,96220963.21,0,240667.0902,23919589.28,0,67967412.13,4093294.704,0.003355894,116581392.2,45040707.86,71540684.31
 05/18  09:00:00,85935343.81,0,578656.1618,21894332.83,0,59827593.96,3634760.859,0.002936407,97847250.41,35117613.17,62729637.24
 05/18  10:00:00,75015174.41,0,756293.9352,21894332.83,0,49327737.83,3036809.812,0.002656749,79181377.89,22325772.04,56855605.85
