Date/Time,Electricity:Facility [J](Hourly),Heating:Electricity [J](Hourly),Cooling:Electricity [J](Hourly),InteriorLights:Electricity [J](Hourly),ExteriorLights:Electricity [J](Hourly),InteriorEquipment:Electricity [J](Hourly),Fans:Electricity [J](Hourly),Pumps:Electricity [J](Hourly),Gas:Facility [J](Hourly),Heating:Gas [J](Hourly),WaterSystems:Gas [J](Hourly) 
 06/29  03:00:00,193633592.4,0,111513970.4,14886432.88,23169600,24376700.69,19686888.47,2.04843E-05,1285561.512,0,1285561.512
 06/29  04:00:00,192277071.1,0,103764734.3,19471919.18,23169600,27266590.8,18604226.76,8.19376E-05,1985110.741,0,1985110.741
 06/29  05:00:00,206562070.9,0,101967414.1,27381883.05,23169600,35695631.8,18347541.94,0.00055308,7346961.329,0,7346961.329
 06/29  06:00:00,215855487.3,0,106735631.2,29139652.8,7723200,53083565.93,19173437.31,0.001925538,22966376.83,0,22966376.83
 06/29  07:00:00,228222594.1,0,114701860.4,27343670.67,0,65388425.55,20788637.52,0.002048444,24365146.83,0,24365146.83
 06/29  08:00:00,232559605.1,0,118411428.3,23919589.28,0,67967412.13,22261175.4,0.001966507,23432633.27,0,23432633.27
 06/29  09:00:00,236189684.6,0,130343675.3,21894332.83,0,59827593.96,24124082.5,0.001720693,20635092.57,0,20635092.57
 06/29  10:00:00,252901398.7,0,154193134.4,21894332.83,0,49327737.83,27486193.57,0.001556818,18770065.44,0,18770065.44
 06/29  11:00:00,277035988.8,0,174924995.4,21894332.83,0,49857589.98,30359070.57,0.001249551,15273139.57,0,15273139.57
 06/29  12:00:00,277691774.2,0,176467059,21196991.74,0,49081841.7,30945881.76,0.001085676,13408112.44,0,13408112.44
 06/29  13:00:00,267878578.4,0,168029288.8,21894332.83,0,47738181.37,30216775.45,0.000962769,12009342.09,0,12009342.09
 06/29  14:00:00,262284356.9,0,163307741.9,21894332.83,0,47208329.21,29873952.94,0.000839862,10610571.74,0,10610571.74
 06/29  15:00:00,270716468.3,0,166181333.1,25218810.4,0,48797885.67,30518439.13,0.000962769,12009342.09,0,12009342.09
 06/29  16:00:00,289250512.4,0,158946568.5,34122296.3,0,66715671.97,29465975.67,0.001126644,13874369.22,0,13874369.22
 06/29  17:00:00,304096083,0,155955928.3,35865032.71,0,83933250.96,28341871.05,0.001495364,18070680.26,0,18070680.26
 06/29  18:00:00,307205661.5,0,152221377.6,44004270.9,0,83236545.25,27743467.73,0.001761662,21101349.35,0,21101349.35
 06/29  19:00:00,285931140,0,136942872.3,50003615.48,0,73747799.95,25236852.23,0.001679724,20168835.79,0,20168835.79
