Date/Time,Electricity:Facility [J](Hourly),Heating:Electricity [J](Hourly),Cooling:Electricity [J](Hourly),InteriorLights:Electricity [J](Hourly),ExteriorLights:Electricity [J](Hourly),InteriorEquipment:Electricity [J](Hourly),Fans:Electricity [J](Hourly),Pumps:Electricity [J](Hourly),Gas:Facility [J](Hourly),Heating:Gas [J](Hourly),WaterSystems:Gas [J](Hourly) 
 01/26  15:00:00,116017788.3,12593297.19,0,21894332.83,0,47208329.21,34321829.03,0.001530802,927460202,889152455.2,38307746.82
 01/26  16:00:00,120699312.5,12336185.75,0,25218810.4,0,48797885.67,34346430.62,0.001754822,932982823.2,889223060.9,43759762.3
 01/26  17:00:00,151945373.2,12507356.61,0,34122296.3,3861600,66715671.97,34738448.36,0.002053515,952464411.5,901435295.2,51029116.28
 01/26  18:00:00,188714604,12734648,0,35865032.71,23169600,83933250.96,33012072.3,0.002725575,976096324.6,908711161.9,67385162.72
 01/26  19:00:00,196068080.8,12930002.63,0,44004270.9,23169600,83236545.25,32727662.01,0.003210952,981209048,902011185,79197862.94
 01/26  20:00:00,193195199.2,13113625.28,0,50003615.48,23169600,73747799.95,33160558.48,0.003061605,990532684.2,914969498.3,75563185.95
 01/26  21:00:00,192218349.8,13314848.01,0,50538588.88,23169600,71628391.33,33566921.57,0.002800248,996269014.1,927066512.9,69202501.22
 01/26  22:00:00,172947820,13411511.69,0,38769174.04,23169600,63729202.5,33868331.73,0.002277535,991843508.7,935362377,56481131.76
 01/26  23:00:00,148483787.4,13442549.4,0,26999759.2,23169600,50531492.12,34340386.71,0.001978842,997237819.2,948026041.4,49211777.78
 01/26  24:00:00,127756857,13473245.7,0,18440184.77,23169600,37863633.89,34810192.63,0.001082763,987969822.7,960566106.9,27403715.86
 01/27  01:00:00,115113148,13599301.11,0,14886432.88,23169600,28085665.77,35372148.18,0.000298787,984708132.8,976380157.1,8327975.641
 01/27  02:00:00,113606781.5,13788057.95,0,14886432.88,23169600,25966257.16,35796433.5,0.000149393,993529226.9,988838332.5,4690894.411
 01/27  03:00:00,113080315.5,13958524.24,0,14886432.88,23169600,24906552.85,36159205.51,3.73483E-05,1001664131,999702168.9,1961961.999
 01/27  04:00:00,112992252.1,14105688.33,0,14886432.88,23169600,24376700.69,36453830.18,3.73483E-05,1010686877,1008724913,1961963.174
 01/27  05:00:00,120765305,14237215.28,0,19471919.18,23169600,27266590.8,36619979.73,0.000149393,1018832289,1014141354,4690935.046
 01/27  06:00:00,137130297.2,14347547.56,0,27381883.05,23169600,35695631.8,36535634.82,0.001008405,1038093463,1012480399,25613064.38
 01/27  07:00:00,155917045,14382278.72,0,29139652.8,23169600,53083565.93,36141947.52,0.003510743,1088436600,1001876470,86560129.87
 01/27  08:00:00,158915114.7,14380217.22,0,27343670.67,15446400,65388425.55,36356401.27,0.003734833,1099822446,1007804370,92018075.97
 01/27  09:00:00,144341506.6,14346525.11,0,23919589.28,0,67967412.13,38107980.07,0.00358544,1101946254,1013566809,88379445.24
 01/27  10:00:00,132839600.3,13892509.68,0,21894332.83,0,59827593.96,37225163.84,0.00313726,1059686316,982222762.5,77463553.04
 01/27  11:00:00,119485947.8,13095832.09,0,21894332.83,0,49327737.83,35168045.1,0.002838473,987692772.2,917506480.6,70186291.58
 01/27  12:00:00,117134998.2,12250816.24,0,21894332.83,0,49857589.98,33132259.17,0.002278248,910982201.9,854440775.5,56541426.34
 01/27  13:00:00,114031479.1,11531832.2,0,21196991.74,0,49081841.7,32220813.44,0.001979462,875923127,826658962.2,49264164.88
 01/27  14:00:00,112850401.7,11043048.67,0,21894332.83,0,47738181.37,32174838.85,0.001755372,867285032.6,823478813.9,43806218.78
 01/27  15:00:00,112069287.1,10685642.36,0,21894332.83,0,47208329.21,32280982.73,0.001531282,863589670.8,825241398.1,38348272.68
 01/27  16:00:00,117001959.1,10606419.26,0,25218810.4,0,48797885.67,32378843.76,0.001755372,871920790,828114571.2,43806218.78
 01/27  17:00:00,148144689.8,10821765.48,0,34122296.3,3861600,66715671.97,32623356.06,0.002054158,887305594.4,836222114.2,51083480.24
 01/27  18:00:00,185163134.5,11209521.81,0,35865032.71,23169600,83933250.96,30985729.07,0.002726428,914713860.3,847256541.8,67457318.53
 01/27  19:00:00,193025129.7,11612021.69,0,44004270.9,23169600,83236545.25,31002691.83,0.003211956,928944130.2,849661261.8,79282868.41
 01/27  20:00:00,190799628.1,12061533.14,0,50003615.48,23169600,73747799.95,31817079.55,0.003062563,949902023.7,874257786,75644237.68
