Date/Time,Electricity:Facility [J](Hourly),ElectricityNet:Facility [J](Hourly),Gas:Facility [J](Hourly) 
 01/06  14:00:00,128187832.53635255,128187832.53635219,155515219.7482206 
 01/06  15:00:00,120628354.97218296,120628354.97218284,144203802.301272 
 01/06  16:00:00,136025689.2506706,136025689.25067044,129365375.91136325 
 01/06  17:00:00,158797602.39508889,158797602.39508877,108147684.1533834 
 01/06  18:00:00,203124706.42275147,203124706.4227511,93029835.63981185 
 01/06  19:00:00,228752689.1014704,228752689.10147009,79248563.01415882 
 01/06  20:00:00,206020283.0349933,206020283.03499318,59140195.24769788 
 01/06  21:00:00,195344944.27058686,195344944.27058668,65612769.98594238 
 01/06  22:00:00,167338813.99717028,167338813.99717013,73089939.25988956 
 01/06  23:00:00,152510978.27827818,152510978.27827803,70674661.8573027 
 01/06  24:00:00,91947810.17912776,91947810.1791277,70680739.82818409 
 01/07  01:00:00,72077316.83054117,72077316.83054105,88585498.81720123 
 01/07  02:00:00,56502307.305445257,56502307.305445227,94235751.96107161 
 01/07  03:00:00,48501779.27127936,48501779.27127926,101974136.73870808 
 01/07  04:00:00,68450360.90720487,68450360.90720479,116379678.63907844 
 01/07  05:00:00,53584613.1257847,53584613.1257846,121126174.58205825 
 01/07  06:00:00,107188539.24041893,107188539.24041876,100380763.66385782 
 01/07  07:00:00,180241309.27793695,180241309.2779366,93676231.5487893 
 01/07  08:00:00,209130670.0634493,209130670.06344895,111614340.36538881 
 01/07  09:00:00,205750495.4382152,205750495.4382149,114419723.6916818 
 01/07  10:00:00,173033547.818539,173033547.81853885,96530675.9503915 
 01/07  11:00:00,153930558.40961588,153930558.40961547,86644971.24923834 
 01/07  12:00:00,143301011.84603349,143301011.84603346,80502072.71251387 
 01/07  13:00:00,128735573.73916663,128735573.73916658,77213818.80748286 
 01/07  14:00:00,115135978.46854955,115135978.46854928,77085569.43787809 
 01/07  15:00:00,121523357.06906232,121523357.06906228,69447541.50639144 
 01/07  16:00:00,124566266.68451996,124566266.6845197,75155302.0341149 
 01/07  17:00:00,155280598.5151072,155280598.51510708,85714153.37192606 
 01/07  18:00:00,210452896.60926456,210452896.60926426,90285853.55669648 
 01/07  19:00:00,214878524.2101827,214878524.2101823,80635823.10346729 
 01/07  20:00:00,205203276.22585318,205203276.22585298,64320445.17827332 
 01/07  21:00:00,199206658.40919853,199206658.40919817,68118533.45208393 
 01/07  22:00:00,170040236.587439,170040236.587439,69994359.49820161 
 01/07  23:00:00,140240139.36482943,140240139.36482919,79991296.54561857 
 01/07  24:00:00,112057690.01344289,112057690.01344285,89566502.29494532 
 01/08  01:00:00,58742896.612493667,58742896.61249367,87954673.05965446 
 01/08  02:00:00,62963224.76896558,62963224.768965449,107975021.10935788 
 01/08  03:00:00,56002093.88606759,56002093.88606756,119544127.3100716 
 01/08  04:00:00,48454952.955914657,48454952.95591455,121673220.77550957 
 01/08  05:00:00,72817575.06415892,72817575.06415898,104173158.65977927 
 01/08  06:00:00,92387569.72993922,92387569.72993917,85115024.72319171 
 01/08  07:00:00,195232698.80168713,195232698.80168695,97921339.16242889 
 01/08  08:00:00,205847442.14647497,205847442.1464746,118637198.92639354 
 01/08  09:00:00,188003173.5614167,188003173.56141634,136790487.0849672 
 01/08  10:00:00,187602597.10380478,187602597.1038046,120741977.43804679 
 01/08  11:00:00,162870733.19285054,162870733.19285039,122435054.44280026 
 01/08  12:00:00,128059897.26617757,128059897.26617736,134338068.16647513 
 01/08  13:00:00,129427487.57102043,129427487.57102037,145113484.9824351 
 01/08  14:00:00,130708364.13792321,130708364.137923,118341250.96471422 
 01/08  15:00:00,107918393.86168766,107918393.86168768,118163213.66510643 
 01/08  16:00:00,132599776.84402147,132599776.84402128,113273026.64080844 
 01/08  17:00:00,168930567.80967117,168930567.80967094,93803910.52648038 
 01/08  18:00:00,203246432.85019685,203246432.85019655,106546918.38694954 
 01/08  19:00:00,215454465.42811994,215454465.42811955,100158638.08127949 
 01/08  20:00:00,206473896.07185818,206473896.07185803,78486880.81675954 
 01/08  21:00:00,196344780.79503567,196344780.7950355,98541581.02405963 
 01/08  22:00:00,181459632.5234759,181459632.52347563,94750090.06676355 
 01/08  23:00:00,139650218.87725473,139650218.87725453,94519828.76191983 
 01/08  24:00:00,93741124.65348339,93741124.65348336,122791276.44464642 
 01/09  01:00:00,74068329.1331155,74068329.1331154,145697151.6966957 
 01/09  02:00:00,57429526.77226664,57429526.7722666,124644186.40950507 
 01/09  03:00:00,61619412.902931328,61619412.90293132,110756298.71966176 
 01/09  04:00:00,55480677.61807943,55480677.618079397,125892907.85642731 
 01/09  05:00:00,66928950.80823128,66928950.80823116,134321166.8844313 
 01/09  06:00:00,100776694.10130795,100776694.10130796,116901498.89717904 
 01/09  07:00:00,188215800.37629677,188215800.37629656,121926710.41845486 
 01/09  08:00:00,196155853.03301425,196155853.0330139,156411411.77322508 
 01/09  09:00:00,209001294.48748348,209001294.48748306,143360654.65926726 
 01/09  10:00:00,176858045.2086949,176858045.20869477,137551260.715342 
 01/09  11:00:00,159570309.48883534,159570309.48883523,152686262.00167597 
 01/09  12:00:00,150442118.92157234,150442118.92157213,148710212.8577295 
 01/09  13:00:00,129038225.22239703,129038225.22239702,148791362.55650086 
 01/09  14:00:00,120458477.95016569,120458477.95016556,152284694.2979057 
 01/09  15:00:00,125483428.29434659,125483428.29434657,142308402.6263142 
 01/09  16:00:00,130514078.0658267,130514078.06582672,148227023.63739739 
 01/09  17:00:00,160337506.02645789,160337506.02645774,152433285.3059704 
 01/09  18:00:00,212805934.79872666,212805934.79872639,149141751.00094474 
 01/09  19:00:00,230946707.19863505,230946707.19863466,138728563.25377608 
 01/09  20:00:00,203020298.92220546,203020298.92220528,100488106.4406116 
 01/09  21:00:00,200278135.10410167,200278135.10410149,85167176.78820415 
 01/09  22:00:00,161248793.00088794,161248793.0008876,87545307.11391595 
 01/09  23:00:00,154252237.49951274,154252237.49951235,131045311.91856423 
 01/09  24:00:00,101413881.52280344,101413881.52280344,148577530.71050147 
 01/10  01:00:00,74958854.03428243,74958854.03428236,166189434.49928124 
 01/10  02:00:00,51895408.218256879,51895408.21825679,159203589.75758464 
 01/10  03:00:00,70525796.74365741,70525796.74365737,157138565.08201198 
 01/10  04:00:00,50671856.26227984,50671856.26227973,178213779.82198594 
 01/10  05:00:00,63047745.75794529,63047745.75794525,188277384.1433215 
 01/10  06:00:00,109443141.83831084,109443141.8383106,180752344.1171407 
 01/10  07:00:00,184815256.80001293,184815256.80001257,185731205.65940703 
 01/10  08:00:00,208636428.84052933,208636428.8405289,204240084.43941043 
 01/10  09:00:00,206780148.2864431,206780148.28644283,198712304.024918 
 01/10  10:00:00,178624549.40987016,178624549.40987,180079674.8137406 
 01/10  11:00:00,166716757.22285537,166716757.22285525,182037202.4319166 
 01/10  12:00:00,145532496.26988844,145532496.26988826,170779722.90436466 
 01/10  13:00:00,130211589.72843988,130211589.72843975,178992664.62153677 
 01/10  14:00:00,127892903.00180559,127892903.00180522,154706903.53716506 
 01/10  15:00:00,117772952.58046234,117772952.58046218,126183151.06041354 
 01/10  16:00:00,136962390.14033429,136962390.14033405,158629006.891923 
 01/10  17:00:00,162250773.92699609,162250773.92699606,201673673.4612503 
 01/10  18:00:00,209010863.9418419,209010863.94184158,250553571.5623489 
 01/10  19:00:00,221939471.6720467,221939471.67204628,238150111.14626209 
 01/10  20:00:00,224484423.42331133,224484423.423311,212019901.20418287 
 01/10  21:00:00,200474052.03286446,200474052.03286419,204390033.82798688 
 01/10  22:00:00,171619307.4059004,171619307.40590013,191267422.9476899 
 01/10  23:00:00,144353643.20815576,144353643.20815558,194954327.15801806 
 01/10  24:00:00,108984787.79389836,108984787.79389826,195784175.1687932 
