Date/Time,Heating:Electricity [J](Hourly),Electricity:Facility [J](Hourly),Gas:Facility [J](Hourly)
 01/08  11:00:00,17842518.73,120912879.4,1192721059
 01/08  12:00:00,17451596.37,119843152.6,1141682336
 01/08  13:00:00,16785974.69,117462640.5,1096731600
 01/08  14:00:00,15915706.11,113894844.4,1055560321
 01/08  15:00:00,14873961.8,111306021.6,1017574855
 01/08  16:00:00,14664557.88,116279198.5,1031461442
 01/08  17:00:00,15575526.12,157238050.9,1089544216
 01/08  18:00:00,16691095.17,197446581.7,1151940435
 01/08  19:00:00,17455520.78,207293304.3,1193802642
 01/08  20:00:00,17989037.91,205242330.5,1218817115
 01/08  21:00:00,18527240.65,205071983.5,1240265157
 01/08  22:00:00,19069574.49,186899216.8,1257737780
 01/08  23:00:00,19642533.11,163799969.8,1290899877
 01/08  24:00:00,20222994.2,144488076.8,1311119939
 01/09  01:00:00,20642695.76,132634199.4,1324899452
 01/09  02:00:00,20933622.04,131411141.3,1339819982
 01/09  03:00:00,21187448.54,131090743.9,1352270873
 01/09  04:00:00,21418360.94,131210877.8,1365523401
 01/09  05:00:00,21622151.49,139151202.4,1376827427
 01/09  06:00:00,21789624.64,155662965.9,1398337849
 01/09  07:00:00,21863090.9,174534984.2,1448217585
 01/09  08:00:00,21875421.47,181444117.6,1460304585
 01/09  09:00:00,21581210.28,161627587.5,1437177590
 01/09  10:00:00,20543358.03,148118617.5,1346720456
 01/09  11:00:00,19373884.8,133828713.7,1251574565
 01/09  12:00:00,18258059.13,131035088.7,1164896308
 01/09  13:00:00,17099951.4,126825640.9,1105799548
 01/09  14:00:00,16004501.28,124092443.1,1066037317
 01/09  15:00:00,15021525.05,121996998.3,1039475852
 01/09  16:00:00,14704654.38,126711508.7,1046723189
 01/09  17:00:00,14796866.74,165433002.3,1060789561
 01/09  18:00:00,14852911.63,194008514.3,1072075557
 01/09  19:00:00,14854611.12,200786135.7,1065402782
 01/09  20:00:00,14850899.63,197405990.6,1065185771
 01/09  21:00:00,14861832.56,195946579.3,1062228599
 01/09  22:00:00,14850601.86,176415564.6,1053557643
 01/09  23:00:00,14819419.1,151826318.1,1057445211
 01/09  24:00:00,14793165.49,130995978.4,1047486056
 01/10  01:00:00,14621198.8,117667928.5,1032163427
 01/10  02:00:00,14367527.43,115094371.9,1020793041
 01/10  03:00:00,14069715.31,113407764,1006788894
 01/10  04:00:00,13751038.28,112160571.3,993665816
 01/10  05:00:00,13394644.17,118723395.5,978807777.9
 01/10  06:00:00,13000257.39,133840778.9,974306631.1
 01/10  07:00:00,12489752.96,151291407.1,998661725.3
 01/10  08:00:00,11863676.85,156632117.4,982086526.7
 01/10  09:00:00,11229364.47,136860404.5,959377792.7
 01/10  10:00:00,10577564.83,125146898.2,917178799.5
 01/10  11:00:00,9849330.499,112725283.9,872254795.1
 01/10  12:00:00,9079631.022,111260418.8,820881378.9
 01/10  13:00:00,8372057.724,107991825.8,781185618.1
 01/10  14:00:00,7692941.142,105759539.8,747554060.7
 01/10  15:00:00,7161401.381,104196856.9,726348084.6
 01/10  16:00:00,6558213.746,107717871.4,707644682.5
 01/10  17:00:00,5887738.907,144276281.9,680035651.4
 01/10  18:00:00,5247911.324,170692949.3,655649088.2
 01/10  19:00:00,4711070.227,176138076.2,626862110.8
 01/10  20:00:00,4300919.002,171636567.8,606523584.2
 01/10  21:00:00,3898699.868,169105520.3,584940771.1
 01/10  22:00:00,3494418.622,148562818.4,558916041.2
 01/10  23:00:00,3095324.003,123006701.7,545554969.1
 01/10  24:00:00,2725206.131,101263820.5,519180554.2
 01/11  01:00:00,2321233.501,87297075.13,493000982.8
 01/11  02:00:00,1827910.562,84082526.9,471977815.3
 01/11  03:00:00,1317128.374,81831469.84,450027521.7
 01/11  04:00:00,2151098.493,83387364.83,486179549
 01/11  05:00:00,4015739.818,95525066.87,570042208.7
 01/11  06:00:00,6005744.215,116773597.6,677177030.3
 01/11  07:00:00,7803976.154,140161117.5,811208229
 01/11  08:00:00,9447072.15,151256656.1,901040183.4
 01/11  09:00:00,11135208.71,137279949.5,985352136.8
 01/11  10:00:00,12090306.29,129532566.6,1017133854
 01/11  11:00:00,12475826.86,119806137.8,1020407339
 01/11  12:00:00,12918205.66,121408174.4,1025318791
 01/11  13:00:00,13195320.81,120547942.6,1028200395
 01/11  14:00:00,13280816.57,120012981.9,1021958532
 01/11  15:00:00,13393401.76,119777449.1,1021107746
 01/11  16:00:00,13478268.61,124862443.2,1028101038
 01/11  17:00:00,13573985.66,163255022.6,1031441557
 01/11  18:00:00,13626159.57,191573584.6,1035388463
 01/11  19:00:00,13658217.75,198338405.2,1027192010
 01/11  20:00:00,13733768.52,195118701,1029174884
 01/11  21:00:00,13819458.02,193831500.4,1028873538
 01/11  22:00:00,14065250.76,174912454.9,1031357701
 01/11  23:00:00,14413674.96,151235892.6,1052154114
 01/11  24:00:00,14790843.87,131393433.7,1060668602
 01/12  01:00:00,15186710.19,119447764.8,1071444870
 01/12  02:00:00,15518362.79,118303972,1087239807
 01/12  03:00:00,15845015.6,118153312.3,1102398483
 01/12  04:00:00,16217419.13,118587548.6,1121004221
 01/12  05:00:00,16611951.38,126963853.6,1140339418
 01/12  06:00:00,16974857.43,143925917.7,1170419699
 01/12  07:00:00,17190099.64,163098073.5,1226225389
 01/12  08:00:00,17304630.32,170138299.6,1240061510
 01/12  09:00:00,17071989.13,150598461.6,1217640534
 01/12  10:00:00,15669755.94,136216126.2,1113009419
 01/12  11:00:00,13888026.59,120685834,999919395.9
 01/12  12:00:00,12121834.8,116636466.2,896465616.3
 01/12  13:00:00,11041295.01,112592247.4,843225176.4
 01/12  14:00:00,10547037,111332516.2,833388303.9
 01/12  15:00:00,10179983.53,110602675.2,832277081.4
 01/12  16:00:00,9727270.347,114982357.2,833347014.5
 01/12  17:00:00,9110553.289,151950057.1,814303203.6
 01/12  18:00:00,8429258.234,178443320.5,789770684.5
 01/12  19:00:00,7907129.635,183857612.8,758398576.7
 01/12  20:00:00,7554724.591,179560191.4,741386543.8
 01/12  21:00:00,7199902.438,177180651.7,722031771
 01/12  22:00:00,6820045.205,156712895.6,696774254.6
 01/12  23:00:00,6418338.195,131161489.6,683142262.3
 01/12  24:00:00,6039974.427,109413814.9,656361642.3
 01/13  01:00:00,5769694.958,95801687.54,636169422.5
 01/13  02:00:00,5571365.92,93363104.72,628436714.8
 01/13  03:00:00,5354097.128,91898626.21,619819126.9
 01/13  04:00:00,5056342.913,90718764.25,609187017.4
 01/13  05:00:00,4728186.81,97348158.74,596878493.3
 01/13  06:00:00,4358351.276,112513827.7,594944761
 01/13  07:00:00,3928484.194,130133682.7,624730257.7
 01/13  08:00:00,3465217.957,135820896.4,616127499
 01/13  09:00:00,3009394.772,116761990.4,603611417.9
 01/13  10:00:00,2473784.052,105245011.5,566518310.6
 01/13  11:00:00,1782531.792,92676439.64,519488900.6
 01/13  12:00:00,1094972.714,91262223.03,470169633.6
 01/13  13:00:00,337873.0905,87598624.7,423424790.3
 01/13  14:00:00,0,85178555.41,381683155.2
 01/13  15:00:00,0,83442519.6,344267662.1
 01/13  16:00:00,0,88322452.72,348764165.4
 01/13  17:00:00,0,127295047.7,370933320.3
 01/13  18:00:00,0,155800341.5,392093823.7
 01/13  19:00:00,0,164203964.1,430639315
 01/13  20:00:00,704231.5091,163556232.3,483906066.6
 01/13  21:00:00,2317673.893,165794545.2,539801496.4
 01/13  22:00:00,3560175.55,149229771.8,579797595.8
 01/13  23:00:00,4579109.178,127127743.1,624517278.2
 01/13  24:00:00,5620829.58,108823160.3,656404550
 01/14  01:00:00,6525100.448,98038895.98,684386638
 01/14  02:00:00,7297872.596,97906354.16,715786703
 01/14  03:00:00,8029912.944,98687900.16,745573649.2
 01/14  04:00:00,8449177.849,99207924.11,763686099.3
 01/14  05:00:00,8625463.828,107004625.6,770190053.1
 01/14  06:00:00,8745391.87,123296887.5,786075337.3
 01/14  07:00:00,8698069.519,141798560.6,829097140.2
 01/14  08:00:00,8586432.058,147293547.1,824461297.6
 01/14  09:00:00,8406978.316,119934998.5,821305142.9
 01/14  10:00:00,7889349.692,108255587.1,781400615.2
 01/14  11:00:00,7298309.933,96120429.4,743339437.4
 01/14  12:00:00,6655092.376,94977581.15,699809295.9
 01/14  13:00:00,5906898.473,92700558.09,663234233.5
 01/14  14:00:00,5129622.656,89387545.94,630061472.8
 01/14  15:00:00,4370341.081,87211421.27,598766986.4
 01/14  16:00:00,3956802.788,91218847.82,590011995.6
 01/14  17:00:00,3819862.216,129167502.7,588372194.8
 01/14  18:00:00,3703670.724,166034500.7,587309537.8
 01/14  19:00:00,3547349.72,173406600.4,582500789.5
 01/14  20:00:00,3385198.934,169537607.2,573075206.3
 01/14  21:00:00,3245336.633,167668018.1,562773848
 01/14  22:00:00,3086778.54,147724783.8,546703604.9
 01/14  23:00:00,2962512.796,122845413.2,544616078.8
 01/14  24:00:00,2852907.51,101737017.6,528543739
 01/15  01:00:00,2761230.746,88527047.03,514788278.5
 01/15  02:00:00,2711684.564,86388309.91,511604098.6
 01/15  03:00:00,2636757.437,85219713.07,507646332.3
 01/15  04:00:00,2648244.034,84764891.77,509370945
 01/15  05:00:00,2702799.019,92338116.76,513505153.2
 01/15  06:00:00,2741462.612,108540778.2,529888463.8
 01/15  07:00:00,2674976.45,127090376.7,576160623.7
 01/15  08:00:00,2564030.954,132658404.9,574533313.8
 01/15  09:00:00,2410933.427,105447833.7,575263836.4
 01/15  10:00:00,2056045.283,94356680.36,548757696.9
 01/15  11:00:00,1557589.232,82342115.92,514002233.5
 01/15  12:00:00,1048073.435,81476166.92,476485921.1
 01/15  13:00:00,641849.8384,79941158.6,453150311.8
 01/15  14:00:00,340723.5105,77749448.4,439800073.6
 01/15  15:00:00,103574.421,76870099.92,431361524.9
 01/15  16:00:00,2987.91393,81671522.62,436371360.2
 01/15  17:00:00,2554.926807,116085588.2,440178501.7
 01/15  18:00:00,47346.8979,157219398,446181131.6
 01/15  19:00:00,25954.58891,164913629.7,446689684.2
 01/15  20:00:00,0,161306594.1,440564053.1
 01/15  21:00:00,0,159556169.4,431709431.5
 01/15  22:00:00,0,140000171.9,421167214.4
 01/15  23:00:00,36027.63925,115599625.7,426579747.3
 01/15  24:00:00,168764.6037,95042298.23,418978005.1
 01/16  01:00:00,287451.5772,82304471.93,412380531.4
 01/16  02:00:00,365582.5681,80450350.22,413502235.1
 01/16  03:00:00,415143.5371,79545462.06,413464184.9
 01/16  04:00:00,460340.5349,79147057.45,415648103.2
 01/16  05:00:00,498133.0666,86662382.21,418338254.1
 01/16  06:00:00,513512.0257,102795432.4,433195610.7
 01/16  07:00:00,561987.7025,121613563,483844924.4
 01/16  08:00:00,646117.4832,127661198.8,490122215.5
 01/16  09:00:00,691540.7609,100959022.6,499348227.9
 01/16  10:00:00,560942.4093,90454845.38,483071595.2
 01/16  11:00:00,267788.1526,79013519.28,458694784.7
